character,meaning,onyomi,kunyomi,example
悪, bad, アク・オ, わる（い）, 悪人::あくにん::bad guy||悪寒::おかん::shiver
安, peaceful/easy/cheap, アン, やす（い）, 安心::あんしん：:relief||不安：:ふあん::anxiety||安易::あんい::superficial||安値::やすね::low price
暗, dark, アン, くら（い）, 暗号::あんごう::code/cipher||暗算::あんざん::mental arithmetic
医, doctor/healing, イ, -, 医者::いしゃ::doctor||医師::いし::doctor||外科医::げかい::surgeon||医務室::いむしつ::medical office
委, leave it to/detailed, イ, -, 委員::いいん::committee member||委員会::いいんかい::committee
意, thought/reason, イ, -, 意味::いみ::meaning||意見::いけん::opinion||注意::ちゅうい::caution


